Video ID,Title,Channel,Upload Date,Views,Likes,Comments,Duration (min),Has Subtitles?,Subtitle Languages,Highest Quality,URL
VhRtaziEWd4,"What is a neuron? | Deep Learning Tutorial 3 (Tensorflow Tutorial, Keras & Python)",codebasics,20200713,382680,14418,510,16.8,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=VhRtaziEWd4
ER2It2mIagI,"Neural Network Simply Explained | Deep Learning Tutorial 4 (Tensorflow2.0, Keras & Python)",codebasics,20200714,579382,20363,1200,11.0,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=ER2It2mIagI
yfsTZbwgMSE,"Why deep learning is becoming so popular? | Deep Learning Tutorial 2 (Tensorflow2.0, Keras & Python)",codebasics,20200712,303935,4095,75,5.4,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=yfsTZbwgMSE
Mubj_fqiAv8,"Introduction | Deep Learning Tutorial 1 (Tensorflow Tutorial, Keras & Python)",codebasics,20200711,981943,11781,227,3.65,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=Mubj_fqiAv8
68m2UCtedj0,Power BI Project For Beginners | Sales Insights Data Analysis Project - 9 Changes Based On Feedback,codebasics,20200706,181726,2196,404,62.35,No,,1920x1080,https://www.youtube.com/watch?v=68m2UCtedj0
95YpbxxTqgI,Conversation with my brother | Young Entrepreneur and CEO,codebasics,20200705,3166,154,31,57.95,Yes,live_chat,1280x720,https://www.youtube.com/watch?v=95YpbxxTqgI
_QqhyLfRzb0,Power BI Project For Beginners |  Sales Insights Data Analysis Project - 8 - Dashboard in mobile app,codebasics,20200701,84710,1294,43,5.55,Yes,en,1920x1080,https://www.youtube.com/watch?v=_QqhyLfRzb0
tGxelSFySuI,Power BI Project For Beginners |  Sales Insights Data Analysis Project - 7 - Publish A Report,codebasics,20200630,107461,1429,58,15.58,Yes,en,1920x1080,https://www.youtube.com/watch?v=tGxelSFySuI
ah6-h6nAmcM,Is data science a hype? | Is data science a bubble?,codebasics,20200629,28434,812,124,8.55,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=ah6-h6nAmcM
pbOJVEsZKJ8,Power BI Project For Beginners | Sales Insights Data Analysis Project - 5 - Build Dashboard,codebasics,20200627,263966,3495,404,41.83,Yes,en,1920x1080,https://www.youtube.com/watch?v=pbOJVEsZKJ8
gDuMaJfDtS0,Power BI Project For Beginners | Sales Insights Data Analysis Project - 6 - Stakeholders' Feedback,codebasics,20200628,101055,1690,96,4.23,Yes,en,1920x1080,https://www.youtube.com/watch?v=gDuMaJfDtS0
6pifKxjyHd8,Power BI Project For Beginners |  Sales Insights Data Analysis Project - 4 - Data Cleaning & ETL,codebasics,20200626,334604,5516,459,22.35,Yes,en,1920x1080,https://www.youtube.com/watch?v=6pifKxjyHd8
JOrhcV3_NAk,Power BI Project For Beginners | Sales Insights Data Analysis Project - 3 - Data Analysis Using SQL,codebasics,20200625,483654,7885,474,20.45,Yes,en,1920x1080,https://www.youtube.com/watch?v=JOrhcV3_NAk
hhZ62IlTxYs,Power BI Project For Beginners | Sales Insights Data Analysis Project - 1 - Problem Statement,codebasics,20200623,915617,12801,293,8.05,Yes,en,1920x1080,https://www.youtube.com/watch?v=hhZ62IlTxYs
9QiZ0-HZG_A,Power BI Project For Beginners | Sales Insights Data Analysis Project - 2 - Data Discovery,codebasics,20200624,435909,4653,131,10.28,Yes,"en, live_chat",1920x1080,https://www.youtube.com/watch?v=9QiZ0-HZG_A
xucm6_BQPJU,Artificial Intelligence (AI) vs Machine Learning vs Deep Learning vs Data Science,codebasics,20200622,132596,2915,165,3.73,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=xucm6_BQPJU
W-PmvEeHioQ,Data Science & Machine Learning Project - Part 8 Deployment & Exercise | Image Classification,codebasics,20200618,46508,1019,84,5.27,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=W-PmvEeHioQ
j8PnojuLnVo,3 Books that will help you become successful,codebasics,20200618,3256,161,32,19.05,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=j8PnojuLnVo
idMKTkfeo4A,Data Science & Machine Learning Project - Part 7 Build Website | Image Classification,codebasics,20200618,55669,443,49,38.23,No,,1920x1080,https://www.youtube.com/watch?v=idMKTkfeo4A
NtNl97LlpOk,Data Science & Machine Learning Project - Part 6 Flask Server | Image Classification,codebasics,20200616,54243,754,111,36.27,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=NtNl97LlpOk
lqEzYDuTnvU,How B com graduate became a data analyst | Data analyst career transition,codebasics,20200615,176250,4597,342,39.27,Yes,"en, live_chat",1280x720,https://www.youtube.com/watch?v=lqEzYDuTnvU
5Uc_m9CRWro,Data Science & Machine Learning Project - Part 5 Training a Model | Image Classification,codebasics,20200615,53182,599,47,20.0,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=5Uc_m9CRWro
sWAPtaBZKBQ,Data Science & Machine Learning Project - Part 4 Feature Engineering | Image Classification,codebasics,20200614,60792,768,62,18.38,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=sWAPtaBZKBQ
ny5Mv7wYzFU,"Data Science Interview Tips, Career Guidance With Ken Jee, Krish Naik, Data Professor & Codebasics",codebasics,20200614,9767,487,37,57.77,Yes,live_chat,1280x720,https://www.youtube.com/watch?v=ny5Mv7wYzFU
kwKfWBb6frs,Data Science & Machine Learning Project - Part 3 Data Cleaning | Image Classification,codebasics,20200613,144632,2263,313,40.73,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=kwKfWBb6frs
m1dQ38qDABw,Data Science & Machine Learning Project - Part 2 Data Collection | Image Classification,codebasics,20200612,111775,1247,51,5.62,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=m1dQ38qDABw
qWXXHjV3JHI,Data Science & Machine Learning Project - Part 1 Introduction | Image Classification,codebasics,20200612,195854,2609,84,4.7,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=qWXXHjV3JHI
pOXmn7jP9gQ,Is Becoming a Data Scientist Hard?,codebasics,20200611,60040,2097,107,6.65,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=pOXmn7jP9gQ
YKPFQUvckU0,Data Analyst Resume Review Session | Review 27 Real Resumes For Data Analyst Position,codebasics,20200531,70018,1686,86,92.05,No,,1920x1080,https://www.youtube.com/watch?v=YKPFQUvckU0
34-RThWWRHM,Data Analyst Interview & Job Tips With A Data Analyst | Mechanical Engineer to Data Analyst,codebasics,20200609,67505,1541,117,89.37,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=34-RThWWRHM
ysqAne_0Tu8,Preparing Vegetable Garden For Summer 2020,codebasics,20200530,2909,135,56,4.38,No,,1920x1080,https://www.youtube.com/watch?v=ysqAne_0Tu8
A3gClkblXK8,Outlier detection and removal using IQR | Feature engineering tutorial python # 4,codebasics,20200529,109964,2063,144,8.03,No,,1920x1080,https://www.youtube.com/watch?v=A3gClkblXK8
KFuEAGR3HS4,"Outlier detection and removal: z score, standard deviation | Feature engineering tutorial python # 3",codebasics,20200528,133530,2457,121,20.08,No,,1920x1080,https://www.youtube.com/watch?v=KFuEAGR3HS4
ubdmKhVJ5I0,"Career guidance, job tips with Amazon Engineer and Cox AI director Part 1",codebasics,20200526,2471,94,15,51.87,No,,1920x1080,https://www.youtube.com/watch?v=ubdmKhVJ5I0
pYVScuY-GPk,What is feature engineering | Feature Engineering Tutorial Python # 1,codebasics,20200525,183700,2790,74,5.18,No,,1920x1080,https://www.youtube.com/watch?v=pYVScuY-GPk
Izk2VJXWSxc,"Career guidance, job tips with Amazon Engineer and Cox AI director Part 2",codebasics,20200526,1155,39,10,46.6,No,,1920x1080,https://www.youtube.com/watch?v=Izk2VJXWSxc
7sJaRHF03K8,Outlier detection and removal using percentile | Feature engineering tutorial python # 2,codebasics,20200526,146267,2448,137,17.3,No,,1920x1080,https://www.youtube.com/watch?v=7sJaRHF03K8
JnrbMQyGLiU,Binary Tree Part 2 | BST | Binary Search Tree - Data Structures & Algorithms Tutorials In Python #11,codebasics,20200521,98926,1882,193,16.28,No,,1920x1080,https://www.youtube.com/watch?v=JnrbMQyGLiU
HgE2yOHl1RU,How a mechanical engineer became a data analyst,codebasics,20200511,61763,1519,160,10.35,No,,1920x1080,https://www.youtube.com/watch?v=HgE2yOHl1RU
BxaeAfVqbXw,Silver Button & A Big Thanks!,codebasics,20200516,3292,315,112,1.27,No,,3840x2160,https://www.youtube.com/watch?v=BxaeAfVqbXw
lFq5mYUWEBk,Binary Tree Part 1 | BST | Binary Search Tree - Data Structures & Algorithms Tutorials In Python #10,codebasics,20200519,256554,3709,173,25.3,No,,1920x1080,https://www.youtube.com/watch?v=lFq5mYUWEBk
9fqu2m7O8VI,How to get programming experience without having a job | 5 Tips on getting real coding experience,codebasics,20200510,23209,906,54,16.33,No,,1920x1080,https://www.youtube.com/watch?v=9fqu2m7O8VI
3qRu5R00y-4,Can anyone learn coding?,codebasics,20200506,23413,1030,119,6.9,No,,1920x1080,https://www.youtube.com/watch?v=3qRu5R00y-4
yZFrSDjRvjk,How to learn anything effectively? | How to learn things effectively?,codebasics,20200430,158187,6792,182,4.4,No,,1920x1080,https://www.youtube.com/watch?v=yZFrSDjRvjk
4r_XR9fUPhQ,Tree (General Tree) - Data Structures & Algorithms Tutorials In Python #9,codebasics,20200427,313468,5192,226,24.48,No,,1920x1080,https://www.youtube.com/watch?v=4r_XR9fUPhQ
HT76DdBCIfU,Tips to improve programming skills,codebasics,20200425,15554,680,55,9.98,No,,1920x1080,https://www.youtube.com/watch?v=HT76DdBCIfU
rUUrmGKYwHw,Queue - Data Structures & Algorithms Tutorials In Python #8,codebasics,20200419,182172,2720,133,14.32,No,,1920x1080,https://www.youtube.com/watch?v=rUUrmGKYwHw
CptrlyD0LJ8,How to learn coding for beginners | Learn coding for free | learn coding from scratch,codebasics,20200405,431470,9888,522,19.92,Yes,en,1920x1080,https://www.youtube.com/watch?v=CptrlyD0LJ8
OeEQtX5umqU,100K subscribers. Thanks For Your Support & Love!,codebasics,20200415,1331,132,130,3.38,No,,1920x1080,https://www.youtube.com/watch?v=OeEQtX5umqU
zwb3GmNAtFk,Stack - Data Structures & Algorithms Tutorial In Python #7,codebasics,20200331,287196,4927,177,13.08,No,,1920x1080,https://www.youtube.com/watch?v=zwb3GmNAtFk
54iv1si4YCM,Collision Handling In Hash Table - Data Structures & Algorithms Tutorials In Python #6,codebasics,20200322,192237,3315,232,18.35,No,,1920x1080,https://www.youtube.com/watch?v=54iv1si4YCM
rii6QRX8ZLs,Coding Best Practices With Examples | Code Review Best Practices,codebasics,20200417,54970,993,52,15.62,No,,1920x1080,https://www.youtube.com/watch?v=rii6QRX8ZLs
9VQAwhp27eU,Data analyst interview tips | How to prepare for data analyst interview,codebasics,20200328,229792,6810,158,21.68,No,,1920x1080,https://www.youtube.com/watch?v=9VQAwhp27eU
ea8BRGxGmlA,Hash Table - Data Structures & Algorithms Tutorials In Python #5,codebasics,20200322,424518,7591,229,17.85,No,,1920x1080,https://www.youtube.com/watch?v=ea8BRGxGmlA
qp8u-frRAnU,Linked List - Data Structures & Algorithms Tutorials in Python #4,codebasics,20200316,934377,15680,636,28.27,Yes,en,1920x1080,https://www.youtube.com/watch?v=qp8u-frRAnU
79Wkib0Q87Y,Data Analyst Resume Examples | Data Analyst Resume Sample,codebasics,20200313,84186,1834,93,9.05,Yes,en,1920x1080,https://www.youtube.com/watch?v=79Wkib0Q87Y
gDqQf4Ekr2A,Arrays - Data Structures & Algorithms Tutorials in Python #3,codebasics,20200312,583898,8921,338,14.23,No,,1920x1080,https://www.youtube.com/watch?v=gDqQf4Ekr2A
_t2GVaQasRY,Data Structures & Algorithms Tutorial in Python #1 - What are data structures?,codebasics,20200307,1226315,19001,300,5.78,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=_t2GVaQasRY
cdDD5t9r98c,How my health struggle inspired me to start YouTube Channel?,codebasics,20200306,14122,1121,299,14.12,No,,1920x1080,https://www.youtube.com/watch?v=cdDD5t9r98c
